dataset,ESPRESSO,BOCD,Window,PELT,BinSeg,FLOSS,ClaSP,fluss1,fluss2,fluss3,fluss4,fluss5
Adiac,0.408,0.303,0.303,0.303,0.303,0.809,0.816,0.4303977272727273,0.4772727272727273,0.4616477272727273,0.4375,0.4289772727272727
ArrowHead,0.701,0.483,0.5,0.5,0.5,0.995,0.996,0.9947019495772963,0.9634794156706508,0.7636122177954847,0.796812749003984,0.798804780876494
Beef,0.487,0.344,0.5,0.5,0.5,0.935,0.848,0.9354166666666667,0.9340849368483513,0.7683289756690413,0.7127727768685216,0.6592864600208806
BeetleFly,0.6559999999999999,0.716,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.6654237556242969,0.959375
BirdChicken,0.4589999999999999,0.366,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
CBF,0.505,0.613,0.342,0.342,0.342,0.861,0.68,0.2561558886916063,0.503430477838999,0.2561558886916063,0.2561558886916063,0.2561558886916063
Car,0.3389999999999999,0.256,0.256,0.256,0.256,0.256,0.7609999999999999,0.8611728395061728,0.643508506343714,0.6533166109253066,0.7457250597371564,0.7191722972972973
Chinatown,0.367,1.0,1.0,1.0,1.0,0.7040000000000001,1.0,0.7041666666666667,0.39166666666666666,0.4041666666666667,0.5666666666666667,1.0
ChlorineConcentration,0.3979999999999999,0.664,0.5770000000000001,0.5770000000000001,0.5770000000000001,0.5770000000000001,0.5770000000000001,0.5774870418254516,0.5774870418254516,0.5774870418254516,0.5774870418254516,0.5774870418254516
CinCECGTorso,0.496,0.551,0.337,0.337,0.337,0.337,0.828,0.33714923647270767,0.33714923647270767,0.33714923647270767,0.33714923647270767,0.33714923647270767
Coffee,0.573,0.466,0.5,0.5,0.5,0.899,0.994,0.899,0.835,0.823,0.837,0.899
Computers,0.496,0.882,0.5,0.457,0.527,0.5,0.975,0.5,0.5,0.5,0.5,0.5
CricketX,0.408,0.211,0.203,0.769,0.769,0.203,0.986,0.2025682017107119,0.2025682017107119,0.2025682017107119,0.2025682017107119,0.2025682017107119
CricketY,0.3289999999999999,0.208,0.2019999999999999,0.747,0.747,0.2019999999999999,0.985,0.20196760116645618,0.20196760116645618,0.20196760116645618,0.20196760116645618,0.20196760116645618
CricketZ,0.24,0.201,0.2019999999999999,0.74,0.74,0.2019999999999999,0.935,0.2018275585677713,0.2018275585677713,0.2018275585677713,0.2018275585677713,0.2018275585677713
Crop,0.287,0.244,0.125,0.987,0.987,0.125,0.986,0.125,0.125,0.125,0.125,0.125
DiatomSizeReduction,0.476,0.5670000000000001,0.342,0.342,0.342,0.7609999999999999,0.947,0.7606676235503127,0.46519051003849093,0.5877803557617943,0.608662026295437,0.5614849187935035
DistalPhalanxOutlineAgeGroup,0.407,0.6679999999999999,0.6679999999999999,0.6679999999999999,0.6679999999999999,0.934,0.93,0.9342348653044749,0.6684434446672208,0.6684434446672208,0.6684434446672208,0.6684434446672208
DistalPhalanxTW,0.836,0.474,0.474,0.474,0.474,0.745,0.7390000000000001,0.7452660570332204,0.7229429623807542,0.6354638647242536,0.474070067904573,0.474070067904573
DodgerLoopDay,0.773,0.254,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ECG200,0.6729999999999999,0.5720000000000001,0.5720000000000001,0.983,0.983,0.968,0.97,0.9678738938053097,0.9154166666666667,0.9154166666666667,0.9670597484276728,0.8884346846846847
ECGFiveDays,0.527,0.524,0.524,0.524,0.524,0.524,0.524,0.5236294896030246,0.5236294896030246,0.5236294896030246,0.5236294896030246,0.5236294896030246
EOGHorizontalSignal,0.382,0.797,0.256,0.256,0.256,0.256,0.922,0.2562079700007808,0.4084935342854976,0.3493804411666932,0.35356199633313456,0.3939574561865563
